t_i,t_j,dp_x,dp_y,dp_z,dv_x,dv_y,dv_z,dq_w,dq_x,dq_y,dq_z,omega_i_x,omega_i_y,omega_i_z,omega_j_x,omega_j_y,omega_j_z,feature_count,track_success,inlier_ratio,feature_dispersion,reproj_error_px,blur_indicator,reflection_indicator,preint_residual
0.0,0.05,0.03741847900630249,0.001253116032595161,0.00015701113743312378,0.7483695801260498,0.025062320651903218,0.003140222748662475,0.9999999984915191,0.0,0.0,5.492687654463113e-05,-1.1014312692062625e-05,0.002009659562481861,0.014966921609819113,-1.554245470415224e-05,0.002031875478001456,0.01502212659670946,181,0.9163209973828766,0.9446088883856941,0.8654468768909398,0.6049094451155067,0.0706188547196572,0.04037761700078016,0.016310178741853934
0.05,0.1,0.037552296356359066,0.0013777068334035025,-0.0005118523893673715,0.7510459271271813,0.027554136668070047,-0.01023704778734743,0.9999999982656516,0.0,0.0,-5.889564340346911e-05,-1.554245470415224e-05,0.002031875478001456,0.01502212659670946,-8.859948861506356e-06,0.0019847817157805344,0.014986682589978737,181,0.9323123093176807,0.8955926872316234,0.8920210016257863,0.6685146895670369,0.03732042500223133,0.06884091988204911,0.01657839136016149
0.1,0.15000000000000002,0.0378851450256683,0.0013611181967821242,0.0006704797139375682,0.7577029005133658,0.027222363935642473,0.01340959427875136,0.9999999997440516,0.0,0.0,2.26251359862178e-05,-8.859948861506356e-06,0.0019847817157805344,0.014986682589978737,2.560849006330208e-05,0.00196569004524995,0.014970543054413627,179,0.8859917239176782,0.9342487924752914,0.8485707397272682,0.5807502171239053,0.09009657141181271,0.07872812933124966,0.022629292403297998
0.15000000000000002,0.2,0.0375274963801592,0.0019331713616026897,-0.0005176622409589057,0.7505499276031842,0.0386634272320538,-0.010353244819178117,0.9999999603097238,0.0,0.0,0.0002817455426176361,2.560849006330208e-05,0.00196569004524995,0.014970543054413627,3.921822799464453e-05,0.001995651731310686,0.014993617940412358,188,0.9411511990997397,0.9216346593678396,0.8535111071854183,0.5757936928152925,0.06918101231497317,0.03864752150225258,0.019387515438696053
0.2,0.25,0.03687667476817728,0.002247738651793388,-0.0001713716071035959,0.7375334953635457,0.04495477303586777,-0.0034274321420719187,0.9999999992520043,0.0,0.0,3.8678046473050293e-05,3.921822799464453e-05,0.001995651731310686,0.014993617940412358,-2.0701640549650953e-06,0.0020000212993308317,0.01500574946938029,188,0.901672360939503,0.8593577617549114,0.8654061588307106,0.7001167034744468,0.015009689705647686,0.007100745467285487,0.013620303413833731
0.25,0.30000000000000004,0.03748384516535173,0.0008497078652325223,0.00010362985261546242,0.7496769033070338,0.016994157304650433,0.0020725970523092466,0.999999979521428,0.0,0.0,0.00020237871285437838,-2.0701640549650953e-06,0.0020000212993308317,0.01500574946938029,4.557772077568073e-05,0.002017436709488439,0.015029846405613405,177,0.9542108349043491,0.864660785327243,0.8567739655614284,0.6615421295210449,0.06508479724071818,0.09643881020542575,0.019774236220718666
0.30000000000000004,0.35000000000000003,0.037427214041675295,0.0016477255892314545,-0.00042111302600729905,0.7485442808335061,0.0329545117846291,-0.008422260520145983,0.9999999964846576,0.0,0.0,-8.384917789501047e-05,4.557772077568073e-05,0.002017436709488439,0.015029846405613405,1.6345515339369584e-05,0.0020121416335122403,0.015026327584782279,185,0.8824691841558728,0.9290132342245759,0.894671199461497,0.5957414177930402,0.052023774875920775,0.08849504782017877,0.01670341966063815
0.35000000000000003,0.4,0.0378115381592137,0.0019691120876719937,0.00013686743143022858,0.7562307631842743,0.03938224175343988,0.002737348628604572,0.999999999971053,0.0,0.0,-7.6088089084422414e-06,1.6345515339369584e-05,0.0020121416335122403,0.015026327584782279,7.960506567252401e-05,0.0020243188305079985,0.015022711042385156,188,0.9195600300194927,0.9213248641028766,0.8468226287641786,0.6650805612261435,0.07001498264827072,0.06483560026448912,0.01790895893152417
0.4,0.45,0.03729284368296234,0.0009111172646729027,0.00042129987096296666,0.7458568736592469,0.018222345293458057,0.008425997419259335,0.9999999997646417,0.0,0.0,2.169600349527328e-05,7.960506567252401e-05,0.0020243188305079985,0.015022711042385156,4.564131852557543e-05,0.002035168414517846,0.015003462980121193,188,0.9571342399668757,0.8894875263039184,0.8738836384157327,0.5422510009129574,0.037786261919499714,0.0662612329346839,0.018058221971062376
0.45,0.5,0.037809910683514955,0.0014788529840079998,-0.0003805550033775968,0.7561982136702993,0.029577059680160004,-0.007611100067551938,0.9999999997618267,0.0,0.0,-2.182536232849526e-05,4.564131852557543e-05,0.002035168414517846,0.015003462980121193,3.573478305325454e-05,0.001983882647218052,0.01503253252358321,198,0.9318435123019394,0.8630999467797031,0.8566823059037403,0.5253446462549707,0.0024819753850323853,0.05839281485605989,0.01500297925123649
