n_feat_ratio,track_success,inlier_ratio,feature_dispersion,reproj_norm,blur_indicator,reflection_indicator,preint_norm,rho_target
0.905,0.9163209973828766,0.9446088883856941,0.8654468768909398,0.30245472255775335,0.0706188547196572,0.04037761700078016,0.20387723427317417,0.9405987406149495
0.905,0.9323123093176807,0.8955926872316234,0.8920210016257863,0.33425734478351843,0.03732042500223133,0.06884091988204911,0.2072298920020186,0.8978849103057324
0.895,0.8859917239176782,0.9342487924752914,0.8485707397272682,0.29037510856195264,0.09009657141181271,0.07872812933124966,0.282866155041225,0.9408736252177211
0.94,0.9411511990997397,0.9216346593678396,0.8535111071854183,0.28789684640764623,0.06918101231497317,0.03864752150225258,0.24234394298370066,0.9269742937995065
0.94,0.901672360939503,0.8593577617549114,0.8654061588307106,0.3500583517372234,0.015009689705647686,0.007100745467285487,0.17025379267292165,0.9062305244611191
0.885,0.9542108349043491,0.864660785327243,0.8567739655614284,0.3307710647605224,0.06508479724071818,0.09643881020542575,0.24717795275898333,0.8840602233696344
0.925,0.8824691841558728,0.9290132342245759,0.894671199461497,0.2978707088965201,0.052023774875920775,0.08849504782017877,0.20879274575797685,0.9193755364422614
0.94,0.9195600300194927,0.9213248641028766,0.8468226287641786,0.3325402806130717,0.07001498264827072,0.06483560026448912,0.2238619866440521,0.8867730122567956
0.94,0.9571342399668757,0.8894875263039184,0.8738836384157327,0.2711255004564787,0.037786261919499714,0.0662612329346839,0.2257277746382797,0.9043741436674707
0.99,0.9318435123019394,0.8630999467797031,0.8566823059037403,0.26267232312748534,0.0024819753850323853,0.05839281485605989,0.18753724064045613,0.89776443588559
0.96,0.9998753654233627,0.8917091025030297,0.8793683043459785,0.3019407505135163,0.06232607156745404,0.09767847930966811,0.2513120956800993,0.895892573543258
0.885,0.9518762317797798,0.9484530443324045,0.8823146382892967,0.3244141269613442,0.04896333233989098,0.06731406588017914,0.23350552382577758,0.8774120455211071
0.945,0.9098724484153459,0.9338332573419017,0.8592801460692727,0.3123494249698796,0.10777839342581962,0.06626931770817195,0.2201315558069263,0.8422734783033357
0.89,0.9462731285114246,0.8590506262367812,0.8214491714784592,0.3443040928551162,0.09173281136300471,0.06972652785646637,0.2802498768905728,0.8784115072633919
0.935,0.9177114228877078,0.9184846020348849,0.8788725360021565,0.33629420790249653,0.08393172060454591,0.04447368629976958,0.2738002303375311,0.9243130959986868
0.935,0.9685051205074829,0.9022226048677084,0.8573505227853299,0.3347169051133482,0.016981582649090735,0.04070917290791057,0.2617715843290828,0.933740426860687
0.925,0.8896798974854728,0.8600607731134131,0.8558376788087863,0.32550531754524664,0.08396951358519597,0.03719337138957918,0.2199732128125674,0.9130295493574061
0.91,0.97055331029932,0.901665603972466,0.8834582863210279,0.2727706264473471,0.025745922702797366,0.02987881767051152,0.2725276229652013,0.9228906678508849
0.87,0.9500831084425566,0.8924453997155788,0.8697295246260875,0.30081435466179207,0.03631733596973698,0.02048143287521041,0.280801392632062,0.8796950989886287
1.0,0.9019516687924317,0.9235437992410135,0.852404548503493,0.2852112165087629,0.12814052685443744,0.07725450011318141,0.26542898599496956,0.8996884840373952
0.9,0.9815938714708351,0.9153573593887161,0.8486424920305224,0.29727609992458687,0.07334435940531339,0.0851410516933658,0.250215003842043,0.888193842885168
0.885,0.9686321498461784,0.9148145751604889,0.8644371636754309,0.3292132510220055,0.02305544992678308,0.035378916735348355,0.2279191585102315,0.9550837203873401
0.925,0.9685348626586885,0.8710670743153989,0.9017424280465053,0.24302113522369884,0.048834448352257,0.008562525803116068,0.23385402951001807,0.8498399965168701
0.915,0.9695465044357451,0.8983009331207304,0.8427723248150122,0.26838619684017073,0.07046574932256025,0.03678159718689476,0.23260934043773315,0.9105649692193576
0.925,0.9528325320650815,0.913687772750149,0.8494041981898232,0.3321282226473213,0.05746659494414435,0.0684761655031785,0.18198061353719988,0.9453542941658535
0.95,0.9461449926705776,0.8890924601607634,0.8360156182513068,0.31574299188215993,0.04971488423893286,0.028482675127931675,0.22107590335403718,0.8905698007925366
0.93,0.9484061214924062,0.9324415518675628,0.8691695103425784,0.3446326260137298,0.027882011955833667,0.01582410105711475,0.27766553170988867,0.9303718431290978
0.925,0.958246287088383,0.8726683875109509,0.8546386274090861,0.35324015354679716,0.0062603042763199335,0.03389495796313431,0.12298270188637081,0.8704641528661871
0.875,0.9227550491022054,0.9359411690755739,0.8267190684159264,0.32426683003598633,0.0,0.047826256892696845,0.24944474458832594,0.8891238998429002
0.9,0.9476046466827526,0.9179014105869591,0.8762148239788548,0.34244918048493345,0.04721805654876169,0.0,0.21171166526893417,0.8982389085949501
0.855,0.9495210914083808,0.9026697273685467,0.8316347041937328,0.3365155192363454,0.0808373025406771,0.0,0.22823159451152317,0.8964531353994953
0.945,0.9727283705385362,0.8888653486224947,0.8674972685165616,0.2827453031138528,0.06859164133084489,0.04056692530587683,0.24169286978668147,0.8857604975385943
0.965,0.9490748945304203,0.9440346369169605,0.8380963680856839,0.2645400347678852,0.07076852666039878,0.011910238050818908,0.12139166884441693,0.8770826553717839
0.895,0.9040272659113229,0.9278710558685802,0.8640387265835756,0.2715675085818795,0.11757408569185034,0.03298263553378562,0.29489413935774217,0.917926874044043
0.915,0.9260495190871776,0.9171703588496044,0.8518910951702063,0.3156271917285114,0.03664314494280459,0.07760415844091698,0.21260463428640772,0.9077319932855561
0.96,0.9202551535334526,0.9118896690982751,0.8513861911321585,0.3091557581179996,0.06802492559991592,0.031841555335519106,0.2218909324052308,0.8860482987084106
0.885,0.8963520431950461,0.9080992438729252,0.8432310796388356,0.3301934825100638,0.0,0.02492118507039564,0.1812563760430442,0.9280267035984286
0.935,0.9037672357036655,0.9077851520268228,0.854188543378292,0.3531277319857451,0.03213997429467843,0.01311924958042604,0.23412918301658028,0.9295927907776931
0.935,0.9141293755223661,0.8602839741536509,0.8263996173779896,0.2740305560051055,0.045690971985329586,2.5605319387903003e-06,0.15414274494994434,0.8643017072608025
0.96,0.8952600185250315,0.9284247832631652,0.8472016527436322,0.3297201475083546,0.06068852986610577,0.0593025406350666,0.24680124137177087,0.8708696155030644
0.94,0.9481088905852608,0.9428523224824531,0.8518762250512114,0.3070276551681767,0.03007770840710282,0.07990526464515431,0.2669881025487431,0.8954111943199274
0.965,0.9674780705491404,0.9633985951585398,0.8785131733013514,0.3095141555089567,0.0470216168615582,0.04607774588066771,0.22406818604435966,0.9293500823903338
0.945,0.9176973388593935,0.9111809116869506,0.8720246959495978,0.3413554817310905,0.04807108780901098,0.0648716882415026,0.18725822963710698,0.9304788154143171
0.92,0.9250451993254225,0.8618784383376028,0.8177674368143166,0.3554742030292796,0.08529166874391937,0.02168236445225142,0.227164530581964,0.8605176029421933
0.925,1.0,0.8769487500140544,0.8711476515843843,0.3087014996555629,0.036717029071492,0.10063485317301217,0.16619479719575453,0.9171157180009271
0.97,0.9501341858798307,0.909418691149784,0.8998015262408356,0.322751331901493,0.06992923610589769,0.021061333206563386,0.276764571569144,0.9054549848407809
0.945,0.9251296784072673,0.9158778208538753,0.8257571758862616,0.29153931906291575,0.03921525301278651,0.09677880793757906,0.27202081655489796,0.919343272888993
0.89,0.9389756172380631,0.915838164922174,0.8472126976231218,0.31610548411561684,0.042875248951444594,0.022311293427774364,0.17167514107396262,0.876661798224696
0.9,0.9230615323385043,0.9024282531385504,0.8696894163831143,0.31902854031969,0.015275902711015948,0.05391102072759444,0.19061389180244884,0.9182128911672803
0.95,0.9299962208179039,0.9283172510081988,0.8304964845032146,0.26633387754202864,0.0,0.13003473737970378,0.20262569996382482,0.9114744895516361
0.9,0.8894780563932356,0.9170699842007601,0.8840041921335609,0.3371682846401192,0.07715760096392173,0.08276415223378746,0.1982139124689963,0.8464002131559096
0.895,0.9419593110692783,0.9248625193141092,0.8342464008219278,0.34926172466554484,0.014847421325878449,0.08406098856191163,0.21934227850236787,0.8829797215792795
0.895,0.9251401045828795,0.9273877398422735,0.8460916979273928,0.28941325417879743,0.07392326657006318,0.060577821973420404,0.21951360351907664,0.9249549937406735
0.975,1.0,0.884289046894617,0.8867298241073681,0.3287543150800475,0.05159387902504528,0.051762692811451225,0.24205249236614024,0.87798737490351
0.875,0.9724227931216962,0.9199256557030371,0.8701801861664676,0.3211825715916448,0.0749773965885911,0.035037524527180994,0.22808483155838344,0.9191613196797901
0.9,0.9603680792277153,0.8847332717973807,0.8584141524254219,0.3395608349781617,0.054427933032841755,0.07866323146720897,0.14711387208738885,0.9066969213705085
0.9,0.9363020861062655,0.9494443905821472,0.8440709228452974,0.33844855678450014,0.07711845159197472,0.06334014712897118,0.24967021335581666,0.9120720430798701
0.985,0.9166718565380682,0.9211121644713985,0.8651552417460122,0.3048785165940708,0.05297579187497324,0.003858259438564285,0.21797692927927534,0.9032060460763531
0.865,0.900228616050486,0.922977883061145,0.8324139035823996,0.3806568810234783,0.012643080174355989,0.0711077986088047,0.2632655901469873,0.9663669993902209
0.93,0.9501042743819526,0.9067812224540092,0.8599177780111817,0.34880467481947175,0.07315544401035945,0.0815014542316765,0.23091358046089822,0.9138579264110642
0.945,0.9450891435230858,0.8980469042610234,0.8504183573604459,0.34084455787267726,0.06111295996039116,0.08526455792151708,0.27478697136195235,0.9167303267610291
0.975,0.9198916573678874,0.9255368568557302,0.869635405023656,0.31499350682887195,0.05821034648887756,0.07665624446535402,0.2603504980132516,0.92279934190556
0.95,0.9184704402378308,0.910053561161835,0.8360360234104429,0.30817723576003786,0.0391510933076013,0.09260388713664275,0.17710683079167358,0.8916352140421431
0.945,0.9310836381295338,0.8669188339347563,0.8704596399532205,0.3123150628834058,0.05648260031636106,0.03596294396898268,0.23687917075567985,0.8985178054944448
0.985,1.0,0.9075925612218744,0.8384942742973199,0.2921359214873691,0.048312289474415494,0.07307465882154622,0.16246791897335353,0.9058419208940804
0.94,0.9341725535737226,0.9028036973215079,0.8322874275422583,0.2848606902573282,0.05168631916655475,0.040360993048551806,0.2928870325901039,0.921669122958498
